symbol,date,entered,return_pct,ret_30m,full_return,entry_price,exit_price,exit_reason
SUMICHEM,2023-02-20 00:00:00,True,0.02,6.682938168293817,3.0395467915894954,474.4,474.95,close_1515
TRITURBINE,2023-02-20 00:00:00,True,-0.9,4.582823158999463,-0.10035122930256277,294.4,292.04,trailing_stop
KALYANKJIL,2023-02-20 00:00:00,False,0.0,4.044943820224719,2.8077753779697625,,,no_pullback
BLS,2023-02-21 00:00:00,True,-1.49,3.82629820832067,-1.16993272886809,169.8,167.43,trailing_stop
DELHIVERY,2023-02-21 00:00:00,True,-1.43,3.4254630990884967,-0.8102345415778317,352.6,347.9,trailing_stop
GICRE,2023-02-21 00:00:00,True,-1.52,3.297442799461646,-2.7035830618892547,151.45,149.3,trailing_stop
UCOBANK,2023-02-22 00:00:00,True,-1.52,5.263157894736842,-2.200000000000003,25.2,24.84,trailing_stop
ITI,2023-02-22 00:00:00,True,-0.92,4.642857142857141,-4.0468064358849265,104.0,103.14,trailing_stop
ZENSARTECH,2023-02-22 00:00:00,True,-1.74,4.241379310344832,-5.094277208071463,303.15,298.17,trailing_stop
USHAMART,2023-02-23 00:00:00,True,-1.61,4.023845007451564,4.613180515759319,180.0,177.28,trailing_stop
SONATSOFTW,2023-02-23 00:00:00,True,-1.69,2.5360230547550464,2.824620573355821,363.4,357.6,trailing_stop
RITES,2023-02-23 00:00:00,False,0.0,2.4250159540523364,3.4267912772585665,,,no_pullback
OLECTRA,2023-02-24 00:00:00,True,0.45,6.285046728971958,6.122224664761491,470.4,473.0,trailing_stop
NEWGEN,2023-02-24 00:00:00,True,-1.06,2.2991071428571455,-1.6583024219943319,231.05,228.83,trailing_stop
POLICYBZR,2023-02-24 00:00:00,True,0.37,2.23372639248396,6.732933233308322,551.1,553.7,trailing_stop
OLECTRA,2023-02-27 00:00:00,True,1.11,6.258692628650893,0.4113687359760743,531.6,538.02,trailing_stop
LODHA,2023-02-27 00:00:00,True,2.04,4.902234636871512,6.510451338037542,377.0,385.09,trailing_stop
POWERINDIA,2023-02-27 00:00:00,True,-0.65,3.8742288192535694,-4.589759045000819,3375.0,3356.5,trailing_stop
TRITURBINE,2023-02-28 00:00:00,True,-1.03,7.230108946847157,-2.2167487684729026,324.95,321.93,trailing_stop
